iter	RMSE
0	12.7780812
1	12.58162225
2	12.42482717
3	12.24786365
4	12.09917364
5	11.93809911
6	11.80938611
7	11.69964572
8	11.57166875
9	11.44368467
10	11.35185218
11	11.25250159
12	11.18234359
13	11.07233138
14	10.97504877
15	10.89641306
16	10.83922696
17	10.7957756
18	10.75811311
19	10.72103927
20	10.65914705
21	10.58755448
22	10.5239706
23	10.4368387
24	10.37933752
25	10.33020914
26	10.29724617
27	10.24405875
28	10.17941626
29	10.14744045
30	10.09687201
31	10.03669139
32	10.00082643
33	9.958201915
34	9.90177497
35	9.857872178
36	9.815583764
37	9.795423785
38	9.76789625
39	9.745274266
40	9.726516781
41	9.701176696
42	9.68905035
43	9.662258352
44	9.632576963
45	9.622415565
46	9.58857441
47	9.543101912
48	9.522508652
49	9.483629473
50	9.458918177
51	9.432620164
52	9.408586082
53	9.385902338
54	9.340578655
55	9.321322143
56	9.287686759
57	9.27078683
58	9.237662681
59	9.212447306
60	9.194873835
61	9.16506403
62	9.151725212
63	9.131446563
64	9.105640503
65	9.099421707
66	9.084037945
67	9.057165254
68	9.020521364
69	9.004546258
70	8.999045175
71	8.984005042
72	8.955706146
73	8.923302268
74	8.896896312
75	8.881079117
76	8.869281841
77	8.851641007
78	8.842886516
79	8.823642396
80	8.80914885
81	8.796772044
82	8.780035389
83	8.764843033
84	8.756851654
85	8.751135662
86	8.741218823
87	8.723169111
88	8.705469713
89	8.6864216
90	8.675981074
91	8.665140016
92	8.645536601
93	8.625171374
94	8.612756248
95	8.600718899
96	8.583521138
97	8.569882779
98	8.558271798
99	8.540133857
100	8.528022536
101	8.50360409
102	8.497417107
103	8.488452984
104	8.475336894
105	8.463262324
106	8.45880814
107	8.45319275
108	8.442248189
109	8.431440982
110	8.423577144
111	8.413479893
112	8.405254486
113	8.398965231
114	8.391560246
115	8.381373734
116	8.354402488
117	8.34795358
118	8.340458097
119	8.334706698
120	8.310999097
121	8.305548629
122	8.301500234
123	8.287120819
124	8.27769778
125	8.268836793
126	8.262006177
127	8.253477753
128	8.229216699
129	8.217234684
130	8.20787456
131	8.198440178
132	8.190264654
133	8.182817937
134	8.177424351
135	8.166224845
136	8.158711829
137	8.153156616
138	8.124764903
139	8.113932953
140	8.106000552
141	8.098242946
142	8.081612496
143	8.063816116
144	8.057224998
145	8.047217888
146	8.040349788
147	8.020072528
148	8.014674032
149	8.006042242
150	8.00224744
151	7.994188068
152	7.977155668
153	7.968955887
154	7.962288149
155	7.943120575
