iter	Passed	Remaining
0	145	145003
1	146	73226
2	148	49284
3	149	37298
4	151	30121
5	152	25316
6	154	21902
7	155	19342
8	157	17362
9	159	15764
10	160	14448
11	162	13348
12	163	12414
13	164	11614
14	166	10924
15	167	10313
16	169	9782
17	170	9308
18	172	8902
19	173	8517
20	175	8176
21	177	7869
22	178	7583
23	180	7320
24	181	7073
25	182	6846
26	184	6635
27	185	6440
28	187	6264
29	188	6098
30	190	5940
31	191	5788
32	192	5646
33	194	5515
34	195	5390
35	196	5271
36	198	5159
37	199	5052
38	200	4950
39	202	4855
40	204	4772
41	205	4687
42	207	4607
43	208	4529
44	209	4455
45	211	4383
46	212	4316
47	214	4247
48	215	4183
49	216	4122
50	218	4067
51	220	4010
52	221	3956
53	222	3903
54	224	3850
55	225	3802
56	226	3754
57	228	3708
58	229	3665
59	231	3621
60	232	3586
61	234	3550
62	236	3514
63	237	3476
64	239	3439
65	240	3402
66	241	3367
67	243	3332
68	244	3298
69	246	3268
70	247	3238
71	248	3208
72	250	3183
73	252	3157
74	253	3130
75	255	3104
76	256	3079
77	258	3056
78	260	3032
79	261	3010
80	263	2987
81	265	2969
82	267	2950
83	268	2930
84	270	2909
85	271	2889
86	273	2870
87	275	2852
88	276	2832
89	278	2814
90	279	2795
91	281	2782
92	284	2771
93	285	2756
94	287	2738
95	289	2722
96	290	2706
97	292	2690
98	293	2674
99	295	2658
100	297	2645
101	298	2631
102	300	2615
103	301	2601
104	303	2586
105	305	2572
106	306	2558
107	308	2546
108	309	2532
109	311	2522
110	313	2509
111	314	2497
112	316	2484
113	318	2471
114	319	2460
115	321	2448
116	322	2436
117	324	2424
118	326	2413
119	327	2404
120	329	2393
121	331	2382
122	332	2371
123	334	2364
124	336	2357
125	338	2348
126	340	2338
127	341	2327
128	343	2319
129	345	2309
130	346	2298
131	348	2288
132	349	2279
133	351	2270
134	352	2260
135	354	2252
136	356	2243
137	358	2236
138	359	2229
139	361	2220
140	362	2211
141	364	2202
142	366	2193
143	367	2186
144	369	2177
145	371	2170
146	372	2162
147	374	2156
148	376	2148
149	377	2140
150	379	2131
151	380	2124
152	382	2116
153	384	2109
154	385	2102
155	387	2094
156	388	2086
157	390	2080
158	392	2075
159	393	2068
160	395	2062
161	397	2057
162	399	2050
163	400	2044
164	402	2037
165	404	2031
166	406	2025
167	407	2018
168	409	2011
169	410	2003
170	411	1996
171	413	1989
172	414	1982
173	416	1975
174	417	1968
175	419	1962
176	420	1956
177	422	1950
178	423	1943
179	425	1937
180	426	1930
181	428	1923
182	429	1917
183	430	1910
184	432	1904
185	433	1897
186	435	1891
187	436	1886
188	438	1880
189	439	1873
190	440	1867
191	442	1860
192	443	1854
193	445	1849
194	446	1844
195	448	1838
196	449	1833
197	451	1829
198	453	1823
199	454	1817
200	455	1811
201	457	1806
202	458	1800
203	459	1794
204	461	1789
205	462	1783
206	464	1778
207	465	1772
208	467	1767
209	468	1762
210	470	1757
211	471	1752
212	472	1746
213	474	1741
214	475	1736
215	476	1731
216	478	1726
217	480	1721
218	481	1717
219	483	1712
220	484	1708
221	485	1703
222	487	1697
223	488	1693
224	490	1688
225	491	1683
226	493	1678
227	494	1674
228	495	1669
229	497	1665
230	498	1661
231	500	1657
232	502	1652
233	503	1648
234	504	1643
235	506	1639
236	507	1634
